,Atha_Ws_root_GC_Rep1,Atha_Ws_root_GC_Rep2,Atha_Ws_root_GC_Rep3,Atha_Ws_root_FLT_Rep1,Atha_Ws_root_FLT_Rep2,Atha_Ws_root_FLT_Rep3,Atha_Ws_leaf_GC_Rep1,Atha_Ws_leaf_GC_Rep2,Atha_Ws_leaf_GC_Rep3,Atha_Ws_leaf_FLT_Rep1,Atha_Ws_leaf_FLT_Rep2,Atha_Ws_leaf_FLT_Rep3
AT3G07405,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07410,1033,1000,1081,479,576,574,1124,1359,1501,652,670,519
AT3G07415,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07420,457,517,590,215,206,192,457,450,616,176,211,170
AT3G07425,22,33,25,1,0,2,34,26,33,0,2,0
AT3G07430,1246,1019,1294,3567,3189,3389,1137,1128,1558,3170,3345,2842
AT3G07435,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07440,317,230,355,298,310,413,345,362,467,347,444,362
AT3G07450,1,2,0,0,0,0,0,0,0,0,0,0
AT3G07460,1686,1699,1726,3622,4687,5580,1738,1680,1922,3960,3926,3055
AT3G07465,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07470,1350,1342,1367,3299,4156,4662,1340,1155,1603,3364,3258,2784
AT3G07475,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07480,5093,4844,5417,2870,3134,3212,4401,4653,6654,3337,3307,2823
AT3G07485,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07490,53,45,65,0,0,1,48,45,87,0,1,0
AT3G07495,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07500,39,34,41,67,95,94,66,46,78,91,108,94
AT3G07505,1,0,0,0,0,0,0,0,0,0,0,0
AT3G07510,481.26,497.99,557.23,467.93,567.93,485.82,468.78,553.26,654.9,493.82,469.61,449.59
AT3G07515,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07520,195,199,223,318,226,297,188,226,232,241,275,216
AT3G07522,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07525,221,221,236,143,151,215,208,225,270,183,190,196
AT3G07530,170,188,219,98,138,110,160,191,187,106,129,104
AT3G07540,1108,1196,1444,999,1162,1196,1269,1847,1759,1113,1286,960
AT3G07545,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07550,319,340,368,387,347,383,351,407,481,316,395,291
AT3G07555,7,7,11,2,0,2,12,4,8,13.91,4,5
AT3G07560,2167,2120,2339,2383,2481,2526,2288,2251,2800,2150,3062,2740
AT3G07565,614,608,699,756,765,761,637,707,797,730,1041,972
AT3G07568,437,411,429,249,297,309,386,333,506,332,291,233
AT3G07570,1222,1124,1181,165,201,186,934,961,1280,134,179,129
AT3G07580,248,197,265,110,123,102,200,288,348,162,168,149
AT3G07585,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07590,488,451.17,495.1,251,268,243,395,408.09,640.05,377,295,195
AT3G07600,142,127.83,136.9,10,1,5,101,130.91,207.95,10,12,8
AT3G07605,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07610,842,823,907,855,741,872,648,812,1130,677,1051,727
AT3G07615,36.72,17.5,38.7,19.05,25.25,17.91,16.93,33.28,27.86,0,38.59,16.63
AT3G07620,0,1,1,1,0,2,2,2,2,0,0,1
AT3G07625,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07630,1179,976,1124,1041,967,1315,890,943,1476,1004,1088,879
AT3G07635,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07640,737,638,797,482,530,514,602,691,995,706,727,532
AT3G07645,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07650,503,559,614,571,451,498,647,743,768,1720,1540,1524
AT3G07655,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07660,3259,2925,3559,2076,1674,2156,2720,3300,4367,1531,2087,1801
AT3G07665,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07670,367,328,442,2229,1650,1928,358,366,431,1586,2142,1649
AT3G07675,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07680,2627,2567,2785,1337,1526,1649,2352,2597,3434,1624,1675,1407
AT3G07685,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07690,867,864,894,350,390,369,880,862,1143,394,458,418
AT3G07695,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07700,981,977,1037,5824,2571,3559,924,998,1130,2518,4028,3499
AT3G07705,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07710,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07715,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07720,656,628,698,1264,734,929,623,615,840,652,980,799
AT3G07725,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07730,18,14,25,156,140,176,15,42,26,138,158,125
AT3G07735,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07740,543,480,601,527,534,495,462,584,759,452,562,534
AT3G07745,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07750,699,560,671,443,512,565,504,638,879,540,522,457
AT3G07755,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07760,735,722,824,541,666,527,761,791,951,614,686,564
AT3G07765,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07770,5544,4526,5876,5036,4359,5157,3377,4810,7254,2947,3442,2643
AT3G07775,0,0,0,0,0,0,0,0,0,2,0,0
AT3G07780,2218,2347,2428,1659,1768,1924,2080,2382,2785,1552,2470,2430
AT3G07785,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07790,1773,1943,1788,1981,2643,2346,1602,1859,2138,1858,2733,2399
AT3G07795,0,0,0,0,0.78,0,0,0,0,0,0,0
AT3G07800,404,411,386,567,522,553,370,450,576,690,807,569
AT3G07805,0,2.33,0,0.64,0.61,0,1.66,4.51,2.41,0,0,0.88
AT3G07810,4161,3847,4462,2002,1811,2172,3537,3639,4935,1634,1832,1601
AT3G07815,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07820,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07825,5,4,3,4,4,0,8,10,6,1,1,2
AT3G07830,0,0,0,0,0,1,0,0,1,0,3,0
AT3G07835,0.46,0,4.68,0,9.88,1.68,0.26,2.66,0,1.33,0,0
AT3G07840,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07845,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07850,0,0,0,1,0,0,0,0,2,0,0,0
AT3G07855,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07860,385,379,438,250,220,292,348,363,540,356,376,266
AT3G07865,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07870,645,743,743,446,470,386,797,761,799,556,883,906
AT3G07875,68.05,79.11,117.81,61.7,68.4,96.96,74.05,98.47,104.93,78,71.05,36.59
AT3G07880,3080,3132,3290,1581,1663,1638,2963,3153,4397,1600,1819,1459
AT3G07885,0,0,0,0,3.31,0,0,0,1.9,0,0,3.72
AT3G07890,1449,1383,1566,1302,1037,1302,1430,1457,1890,1082,1328,1172
AT3G07895,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07900,485,448,480,0,1,2,418,383,571,1,1,3
AT3G07905,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07910,635,658,651,466,627,552,511,552,879,599,526,493
AT3G07915,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07920,3,8,17,0,3,0,12,9,22,0,0,0
AT3G07925,0,0,0,53.08,66.49,32.38,0,0,0,34.94,25.12,41.22
AT3G07930,243,233,275,259,229,312,297,284,332,220,340,268
AT3G07935,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07940,909,964,963,691,726,767,990,1157,1181,473,634,486
AT3G07945,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07950,2247,2174,2196,1120,1142,1193,2071,2095,2800,1124,1340,1025
AT3G07955,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07960,357,335,359,140,130,141,296,306,375,124,125,122
AT3G07965,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07970,447,475,461,2,4,3,357,572,566,6,2,2
AT3G07975,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07980,786,730,888,662,652,728,643,713,973,462,620,499
AT3G07985,0,0,0,0,0,0,0,0,0,0,0,0
AT3G07990,538,553,620,189,278,243,486,573,643,261,249,242
AT3G07995,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08000,42,38,59,69,73,85,53,43,77,82,61,53
AT3G08005,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08010,223,175,198,2352,1910,2279,240,282,254,2238,2448,1968
AT3G08020,726,634,765,1002,887,983,680,785,1004,749,1029,910
AT3G08025,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08030,8420,9304,9194,3975,6000,4278,8217,10788,11560,4726,5498,4716
AT3G08035,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08040,1117,925,1132,317,241,228,1109,1245,1774,103,151,123
AT3G08045,0,0,1,0,1,0,0,0,0,0,0,0
AT3G08050,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08055,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08065,4,6,10,1,2,1,6,3,11,3,8,6
AT3G08070,0.29,15.6,4.08,0,0,13.35,6.63,0,19.62,6.36,11.38,21.69
AT3G08075,2,4,0,1,0,0,0,0,0,0,0,0
AT3G08080,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08085,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08090,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08100,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08105,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08110,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08115,19,10,18,5,4,4,15,23,24,1,1,0
AT3G08120,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08125,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08130,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08135,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08140,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08150,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08155,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08160,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08165,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08170,0,0.57,0,0,0,0.25,0,0.49,1.7,0,0,0
AT3G08175,0.96,0,0,0,0,0,0,0,0,0,0,0
AT3G08185,0,0,0,0,0,1,0,0,0,1,0,0
AT3G08190,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08200,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08205,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08210,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08215,0,1.52,0,2.81,0,0,0,0,0,0,0,0
AT3G08220,2,3,3,1,0,3,4,1,3,0,0,0
AT3G08225,7.96,4.85,12.43,9.9,1.31,5.44,4.69,7.51,7.59,0,0,6.74
AT3G08230,0,0,0,0,1.25,0,0,0,0,2.43,1.26,0
AT3G08235,0.3,0.03,0,0,0,0,0,0,1.23,0,0.96,0
AT3G08240,4,8,8,3,10,3,8,15,14,5,5,9
AT3G08245,0,0,0,0,2,2,1,0,0,1,0,1
AT3G08250,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08255,0,0,0,0,0,0,0,0,1,0,0,0
AT3G08260,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08265,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08270,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08275,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08280,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08285,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08290,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08295,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08300,0,0,0,0,0,0,0,0,4,0,0,0
AT3G08310,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08315,0,0,0,0,0,0,0,0,0,0,2,0
AT3G08325,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08330,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08335,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08340,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08345,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08350,0,0,3.96,1.54,0,0,0,0,0,15.1,0,0.05
AT3G08355,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08360,0,0,0,0,0,2,0,0,0,1,0,0
AT3G08365,0,0,0,0,20.43,1.75,0,0,0,0,0,6.25
AT3G08370,0,0,0,0,0,0,3,0,1,0,0,0
AT3G08380,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08390,0,0,0,0,0,0,2,0,0,0,0,0
AT3G08395,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08400,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08405,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08410,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08415,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08420,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08425,0,1,3,1,0,1,0,0,0,0,0,0
AT3G08430,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08435,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08450,0,0.38,0.32,2.81,0.71,0,1.19,0.1,0.06,0,0,0.68
AT3G08455,0,0,0,0,0,0,0,0,0,0,0,2
AT3G08460,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08465,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08470,5.56,0,0.5,1.77,0.3,0.33,2.22,5.96,0,0,4.68,3.14
AT3G08475,0,0,0,0,4.16,0,0,0,0,0,0,0
AT3G08480,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08485,0,0.98,0,0,0,0,0,0,0,0,0,0
AT3G08490,105,84,108,10,13,8,154,150,172,11,11,9
AT3G08495,4,2,10,0,0,0,5,6,1,0,0,0
AT3G08500,56,60,70,37,26,32,80,67,77,30,32,28
AT3G08505,139,149,161,474,391,295,180,168,151,286,288,283
AT3G08510,4427,4468,4878,4652,5498,7400,4356,4967,5525,5006,5935,4154
AT3G08515,0,0,0,0,0,0,0,0,2,0,0,0
AT3G08520,24,29,28,16,28,16,28,19,39,34,16,14
AT3G08525,2,0,3,0,1,0,0,1,0,6,0,3
AT3G08530,16168.48,14163,17371,11622.52,9704,11411,13208.5,15132.98,19342.48,9212.08,14074.55,11079.07
AT3G08535,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08545,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08550,1910,1871,2278,1067,1052,1255,1716,2007,2643,1088,1397,1148
AT3G08560,6,0,6,1,3,0,1,3,6,0,1,0
AT3G08570,271,328,323,115,134,127,214,326,422,161,189,103
AT3G08575,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08580,75202,69158,76950,40912,35597,40289,60119,65137,96975,39840,44201,37016
AT3G08585,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08590,8746,8023,9562.34,6750,4770,5731,7165,8001,11373,4830,5513,4655
AT3G08595,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08600,416,384,407,727,607,644,350,379,477,423,386,281
AT3G08605,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08610,4181,4582,4415,3958,4576,4399,4256,3836,6131,4188,4144,3673
AT3G08615,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08620,368,341,420,413,342,400,370,420,550,356,376,330
AT3G08630,1425,1290,1399,303,340,362,1104,1191,1918,343,343,233
AT3G08635,0,0,0,0,2,0,0,0,0,0,1,0
AT3G08636,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08640,2208,2252,2490,1985,1861,2230,2230,2305,3508,1795,1689,1323
AT3G08645,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08650,3051,3096,3195,2065,2047,2180,3214,3489,3744,2036,2426,1914
AT3G08655,0,0,0,0,0,0,1,0,0,0,0,0
AT3G08660,119,99,149,104,136,166,90,103,156,99,127,81
AT3G08665,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08670,1171,1022,1301,952,1046,1127,947,1024,1286,847,1138,904
AT3G08675,0.48,2.37,0,0,0,0,0,0,0,0,2.19,0
AT3G08680,2840,2743,3024,1894,1836,1826,2100,2660,3479,1447,1563,1104
AT3G08685,0,0,0,0,1,0,0,0,0,0,0,0
AT3G08690,870,935,1018,792,802,879,857,893,1195,623,726,608
AT3G08695,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08700,23,13,26,1,3,1,46,35,27,0,0,0
AT3G08705,0,0,0,0,0.2,0,0,0,0,1.18,0,0
AT3G08710,780,844,890,549,533,501,879,821,1104,374,465,468
AT3G08715,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08720,855,1040,893,626,571.13,414,852,770,1224,381.19,507,707
AT3G08725,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08730,2494,2108,2744,6474,3301.87,3720,2158,2186,3013,1625.81,2251,1813
AT3G08735,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08740,596,585,680,10537,10073,9807,660,717,793,9792,10610,8781
AT3G08745,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08750,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08755,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08760,971,1010,945,572,757,770,949,1009,1143,827,1172,1097
AT3G08765,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08770,84,161,85,1449,1744,1482,55,146,213,2115,1561,1049
AT3G08775,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08780,757,795,788,461,561,505,784,725,1020,534,695,579
AT3G08785,0,3.23,0,0,0,0,0,0,0,0,0,0.71
AT3G08790,3,3,6,0,0,0,0,4,4,0,0,0
AT3G08795,0,0,0,0,1,1,0,0,0,0,0,0
AT3G08800,433,398,481,223,191,243,386,428,539,166,265,160
AT3G08805,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08810,18,24,22,19,9,13,21,31,26,14,16,22
AT3G08815,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08820,148,125,142,83,127,123,103,159,207,99,118,65
AT3G08825,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08835,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08840,1169,1251,1215,1203,1096,1336,1204,1357,1754,1029,1456,1154
AT3G08845,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08850,4414,4275,5023,4095,3219,4057,3696,4428,5262,2867,4322,3273
AT3G08855,0,1,0,0,0,0,0,0,0,0,0,0
AT3G08860,262,432,333,1118,555,1675,426,606,539,508,614,600
AT3G08870,17,21,8,96,74,148,13,14,20,41,112,88
AT3G08875,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08880,244,206,250,126,165,205,258,264,338,207,221,153
AT3G08890,659.77,595.82,572.92,547.96,608.99,588,581,629.88,786.78,669,813,538
AT3G08895,0.61,1.24,0,0,0,0,1.54,0,1.81,0,0,0
AT3G08900,6.23,9.18,8.08,2.04,1.01,0,2,7.12,14.22,0,2,0
AT3G08905,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08910,553,593,588,438,419,388,491,628,723,425,376,341
AT3G08915,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08920,49,52,58,726,893,889,56,54,59,734,856,680
AT3G08925,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08930,2478,2488,2674,1259,1384,1508,2434,2514,3380,1212,1612,1331
AT3G08935,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08940,316,324,420,44341,47350,45379,557,1068,628,21291,55591,47761
AT3G08943,3455.86,2854.79,3730.68,1933.47,1847.71,2097.65,2669.45,3324.16,4737.38,1975.67,2258.74,1563.7
AT3G08945,0,0,0,0,0,0,0,0,0.18,0,0,0
AT3G08947,963.14,789.21,1037.32,658.53,657.29,656.35,767.55,954.84,1330.62,570.33,701.26,470.3
AT3G08950,475,420,492,322,291,377,483,482,739,297,310,315
AT3G08960,2492,2234,2458,1543,1477,1580,1914,2171,3092,1180,1588,1424
AT3G08965,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08970,237,273,287,344,132,196,156,187,280,66,81,71
AT3G08975,0,0,0,0,0,0,2.34,0,0,0,0,0
AT3G08980,217,172,203,155,134,130,201,206,293,149,130,93
AT3G08985,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08990,116,113,103,88,97,80,113,115,174,136,119,113
AT3G09000,1106,1042,1136,775,773,830,914,970,1382,728,900,796
AT3G09005,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09010,176,180,193,134,98,132,146,175,224,139,181,219
AT3G09015,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09020,254,288,259,77,150,82,276,226,296,230,302,415
AT3G09025,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09030,629,577,773,465,399,536,802,735,980,472,648,616
AT3G09032,159,175,173,32,35,33,151,196,214,63,85,46
AT3G09035,710,721,713,407,537,525,696,748,919,477,476,362
AT3G09040,269,269,282,152,133,128,229,293,374,119,120,111
AT3G09045,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09050,95,66,130,922,888,968,102,146,130,926,1107,841
AT3G09055,0,1,3,0,0,0,0,0,0,0,0,1
AT3G09060,211,170,266,84,64,79,182,231,281,86,100,74
AT3G09065,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09070,2047,2225,2593,841,836,739,2575,2811,2963,797,575,507
AT3G09075,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09080,142,141,155,53,49,31,119,201,231,77,61,31
AT3G09085,154,138,194,173,160,166,200,169,262,151,171,158
AT3G09090,3311,2937.56,3450.22,2660,2387.91,2713,2585,3216.24,4293,2247,2565.44,2105
AT3G09095,0,0,0,0,0,0,0,0,0,0,1,0
AT3G09100,2007,1952,2147,1935,1627,1789,1718,2028,2561,1483,1866,1316
AT3G09105,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09110,8,4,9,1,0,0,11,9,8,0,0,0
AT3G09115,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09120,11,5,6,0,0,0,5,3,5,0,0,0
AT3G09125,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09130,0,0,0,0,0,0,0,1,5,0,0,0
AT3G09135,1.49,0,0,0,0,0,1.42,0,0,0,0,0
AT3G09140,0,0,0,0,0,0,0,1,0,0,0,0
AT3G09145,14,8,11,0,2,0,4,3,8,0,0,0
AT3G09150,242,256,326,704,745,819,285,264,342,729,830,675
AT3G09155,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09160,0,0,0,0,1,0,0,0,0,1,1,1
AT3G09162,0,1,0,0,3,0,1,0,1,2,0,2
AT3G09175,0,0,0.88,1.62,0,0,0,0,0,0,0,0
AT3G09180,685,641,763,746,600,729,618,648,881,615,702,637
AT3G09185,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09190,198,179,191,168,187,137,183,221,280,223,170,134
AT3G09195,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09200,38361,33961,39605,23995,24742,23214,28920,32684,52478,22011,24292,18986
AT3G09205,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09210,412,383,487,3580,3224,3736,428,447,513,3037,3497,2667
AT3G09220,4842,5320,5833,4,2,1,4786,5170,5652,5,10,18
AT3G09225,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09230,317,271,374,173,165,230,321,313,410,180,170,139
AT3G09240,177,123,211,15,18,30,225,197,336,29,18,13
AT3G09245,2,3,0,0,0,0,0,0,0,0,0,0
AT3G09250,180,196.22,269,803.58,771.59,945,182.19,201.15,320,734,854.96,719.74
AT3G09255,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09260,256085.95,270678.92,271695.64,1800,2361,2048,269190,308102.81,297328,3434,4032,2297
AT3G09265,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09270,340,365,412,1,9,2,419,587,542,5,7,13
AT3G09275,176.46,88.88,108.94,987.25,872.79,1180.52,277.22,360.05,284.31,1913.07,4878.83,3239.1
AT3G09280,7,1,10,0,0,0,5,3,1,0,0,0
AT3G09285,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09290,64,68,80,0,0,1,74,95,105,0,0,0
AT3G09295,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09300,4833.69,4597.73,4717.94,1936.33,2014.7,2267.73,3743,4021.64,5445.67,2060,2586.69,1960.82
AT3G09305,0,0,0,0,0,0,0,0,1,0,0,0
AT3G09310,35.31,29.27,32.06,62.67,62.3,56.27,38,39.36,36.33,57,70.31,48.18
AT3G09315,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09320,1277,1356,1345,517,600,588,1442,1381,1795,609,734,657
AT3G09325,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09330,6.11,9,14.32,4,0,0,2.57,5.4,5.75,0,0,0
AT3G09335,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09340,15.89,19,30.68,0,5,0,24.43,12.6,39.25,0,0,0
AT3G09345,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09350,868,783,949,3684,2053,1965,670,655,941,492,641,440
AT3G09355,0,0,0,0,0,0,0,1,0,0,0,0
AT3G09360,655,602,689,412,431,435,509,653,965,356,489,431
AT3G09365,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09370,384,405,466,361,353,430,362,347,478,351,460,324
AT3G09380,0,0,0,0,0,0,0,0,1,0,0,0
AT3G09390,1813,1389,1939,6486,9300,14787,2378,2689,2204,13927,11383,9520
AT3G09395,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09400,48,24,53,0,1,0,18,50,53,1,0,3
AT3G09405,72,88,99,79,70,64,64,107,154,92,105,159
AT3G09410,1736,1639,1947,791,819,869,1736,1731,1986,1019,978,846
AT3G09415,0,0,0,0,0,0,0,0,0,1,0,0
AT3G09425,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09430,89,95.14,103,70.01,71,47,89.25,74.93,166.86,88,120,72.64
AT3G09435,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09440,19632.17,15527.86,22079,52804.99,30305,40639,11644.75,12807.07,17921.14,10222,9289,4562.36
AT3G09445,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09450,0,4,0,894,426,667,6,4,1,60,138,59
AT3G09455,210,225,224,108,142,88,167,192,273,139,90,92
AT3G09465,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09470,1832,2001,1896,950,1088,1101,1972,1908,2383,1220,1360,1282
AT3G09475,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09480,52,78,69,65,61,40,45,70,113,64,65,45
AT3G09485,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09490,294,299,365,42,37,37,289,355,406,54,99,92
AT3G09495,0,0,0,0,1,0,0,0,0,1,4,1
AT3G09500,15776.84,15952,15723,14123,17015,15189,13747,14176,22018,15278,16037,12669
AT3G09505,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09510,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09515,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09520,33,67,32,233,443,167,16,15,10,199,123,110
AT3G09525,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09530,0,0,0,4,0,2,0,0,0,1,1,0
AT3G09540,875,876,890,389,348,370,872,799,912,351,274,230
AT3G09545,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09550,45,47,55,101,67,154,59,62,49,110,118,65
AT3G09555,0,0,1,7,0,1,0,5,0,1,0,0
AT3G09560,1232,1189,1288,1097,762,928,1000,1062,1586,676,854,753
AT3G09565,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09570,2406,2095,2310,1336,1323,1351,2123,2215,2871,1191,1527,1200
